user_id,churned
user_1,0
user_2,0
user_3,0
user_4,0
user_5,0
user_6,0
user_7,0
user_8,0
user_9,0
user_10,0
user_11,0
user_12,1
user_13,0
user_14,0
user_15,0
user_16,0
user_17,0
user_18,0
user_19,0
user_20,0
user_21,1
user_22,0
user_23,0
user_24,0
user_25,0
user_26,0
user_27,0
user_28,0
user_29,0
user_30,0
user_31,0
user_32,0
user_33,0
user_34,0
user_35,0
user_36,0
user_37,1
user_38,0
user_39,0
user_40,0
user_41,0
user_42,0
user_43,0
user_44,0
user_45,0
user_46,0
user_47,0
user_48,1
user_49,0
user_50,0
user_51,0
user_52,0
user_53,0
user_54,0
user_55,0
user_56,0
user_57,0
user_58,0
user_59,0
user_60,0
user_61,0
user_62,0
user_63,0
user_64,0
user_65,0
user_66,0
user_67,0
user_68,0
user_69,0
user_70,0
user_71,0
user_72,0
user_73,0
user_74,0
user_75,0
user_76,0
user_77,0
user_78,0
user_79,0
user_80,0
user_81,0
user_82,0
user_83,0
user_84,0
user_85,0
user_86,0
user_87,0
user_88,0
user_89,0
user_90,0
user_91,0
user_92,0
user_93,0
user_94,0
user_95,0
user_96,0
user_97,0
user_98,0
user_99,0
user_100,0
user_101,0
user_102,0
user_103,0
user_104,0
user_105,0
user_106,0
user_107,0
user_108,0
user_109,0
user_110,0
user_111,0
user_112,0
user_113,0
user_114,0
user_115,0
user_116,0
user_117,0
user_118,0
user_119,0
user_120,0
user_121,0
user_122,0
user_123,0
user_124,0
user_125,0
user_126,0
user_127,0
user_128,0
user_129,0
user_130,0
user_131,0
user_132,0
user_133,0
user_134,0
user_135,0
user_136,0
user_137,0
user_138,0
user_139,0
user_140,0
user_141,0
user_142,0
user_143,0
user_144,0
user_145,0
user_146,0
user_147,0
user_148,0
user_149,0
user_150,0
user_151,0
user_152,0
user_153,0
user_154,0
user_155,0
user_156,0
user_157,0
user_158,0
user_159,0
user_160,0
user_161,0
user_162,0
user_163,0
user_164,0
user_165,1
user_166,0
user_167,0
user_168,0
user_169,0
user_170,0
user_171,0
user_172,0
user_173,0
user_174,0
user_175,0
user_176,0
user_177,0
user_178,0
user_179,0
user_180,0
user_181,0
user_182,0
user_183,0
user_184,0
user_185,0
user_186,0
user_187,0
user_188,0
user_189,0
user_190,0
user_191,0
user_192,0
user_193,0
user_194,0
user_195,0
user_196,0
user_197,0
user_198,0
user_199,0
user_200,0
